folder,image,initial_radius,delta_radius,auto_count
K0_incid,12,35,12,18
K0_incid,12,35,14,18
K0_incid,12,35,16,18
K0_incid,12,35,18,18
K0_incid,12,35,20,18
K0_incid,12,40,2,0
K0_incid,12,40,4,0
K0_incid,12,40,6,0
K0_incid,12,40,8,0
K0_incid,12,40,10,0
K0_incid,12,40,12,0
K0_incid,12,40,14,0
K0_incid,12,40,16,0
K0_incid,12,40,18,0
K0_incid,12,40,20,0
K0_incid,13,5,2,18
K0_incid,13,5,4,18
K0_incid,13,5,6,18
K0_incid,13,5,8,18
K0_incid,13,5,10,18
K0_incid,13,5,12,18
K0_incid,13,5,14,18
K0_incid,13,5,16,18
K0_incid,13,5,18,18
K0_incid,13,5,20,18
K0_incid,13,10,2,18
K0_incid,13,10,4,17
K0_incid,13,10,6,18
K0_incid,13,10,8,17
K0_incid,13,10,10,17
K0_incid,13,10,12,17
K0_incid,13,10,14,17
K0_incid,13,10,16,17
K0_incid,13,10,18,17
K0_incid,13,10,20,17
K0_incid,13,15,2,15
K0_incid,13,15,4,15
K0_incid,13,15,6,15
K0_incid,13,15,8,15
K0_incid,13,15,10,15
K0_incid,13,15,12,15
K0_incid,13,15,14,15
K0_incid,13,15,16,15
